,title,authors,categories,description,average_rating,ratings_count
6277,in search of captain zero,Alan C. Weisbecker,Biography & Autobiography,"A surfer, photojournalist, and author describes his two-year odyssey from Mexico to Central America to search for his missing long-time friend and surfing companion, Christopher Conner, and his bizarre adventures along the way.",4.15,1625.0
6278,think and grow rich,Napoleon Hill;Arthur R. Pell,Business & Economics,"An updated edition of the best-selling guide features anecdotes about such modern figures as Bill Gates, Dave Thomas, and Sir John Templeton, explaining how their examples can enable modern readers to pursue wealth and overcome personal stumbling blocks. Original. 30,000 first printing.",4.18,88437.0
6279,how to save your own life,Erica Jong,Fiction,"With two marriages and a best-selling novel behind her, Isadora Wing reviews the stages by which her life with Bennett disintegrated and finds genuine love as well as joyous adventure and sex in the never-never land of southern California. Reprint. 17,500 first printing.",3.6,1296.0
6280,parachutes & kisses,Erica Jong,Fiction,"Struggling with another divorce, single parenthood, and a string of unlikely suitors, Isadora Wing shares a passionate relationship with a handsome and privileged younger man, Berkeley Sproul III, and wonders about the sincerity of both of their intentions. Reprint. 15,000 first printing.",3.47,563.0
6281,fear of fifty,Erica Jong,Biography & Autobiography,"The well-known author of Fear of Flying comments on some of the immense changes that her generation has faced, in such areas as dating, marriage, monogamy, lust, love, and sexual relations. Reprint.",3.56,445.0
6282,any woman's blues,unknown,Fiction,"A painter of extraordinary talent and renown, Leila is addicted to a younger man who inspires her passion, yet betrays her. Leila fears that giving up the ecstasy--love, sex, alcohol, and hedonism--will mean losing her creative edge. From the bestselling author of Fear of Flying.",3.51,422.0
6283,what do women want?,unknown,Social Science,"Erica Jong's two rules of writing are ""never cut funny"" and ""keep the pages turning."" And Jong delivers in these twenty-six essays, coupling frank and risqu? stories about her own life with provocative pieces on her passion for politics, literature, Italy, and-yes-sex. Originally published in 1998, this updated edition features four new essays. What Do Women Want? offers a startlingly original look at where women are-and where they need to be in the twenty-first century: Are women better off today than they were twenty-five years ago? Has burning pre-nup agreements become the new peak of romance? Why do our greatest women writers too often get dissed and overlooked? Why do powerful women scare men? And who is the perfect man? How does the mother-daughter relationship influence cycles of feminism and backlash? Will Hillary become president? What is sexy?",3.69,160.0
6284,the book of leviathan,Peter Blegvad,Comics & Graphic Novels,"Comics examine the metaphysical aspects of childhood cognition, astronomy, order and chaos, and sibling rivalry, and explore the concept of cats replacing parents.",4.17,610.0
6285,the arabian nightmare,Robert Irwin,Fiction,The English pilgrim Balian of Norwich comes to medieval Cairo on a spy mission and becomes caught up in a series of bizarre intrigues and erotic adventures. Reprint.,3.85,391.0
6286,laughing gas,Pelham Grenville Wodehouse,Fiction,"Fans of P. G. Wodehouse's comic genius are legion, and their devotion to his masterful command of the hilarity borders on an obsession. When a bratty Hollywood child star and an English aristocrat exchange souls at the dentist in Laughing Gas, the result is transatlantic mayhem at its funniest.",3.89,1672.0
6287,meet mr. mulliner,Pelham Grenville Wodehouse,Fiction,"Mr. Mulliner entertains the patrons of the bar with stories of his brothers, nephews, and cousins.",4.06,1162.0
6288,this is berlin,William L. Shirer;John Keegan,History,"Collects two-and-a-half years of the author's daily CBS radio broadcasts that described the menacing steps Germany took toward World War II, presenting them as America and the rest of the world heard them. By the author of The Rise and Fall of the Third Reich. Reprint.",4.22,147.0
6289,the stones of summer,Dow Mossman,Fiction,"Originally published to glowing reviews in 1972, Dow Mossman's extraordinary debut is a sweeping coming-of-age novel that developed a passionate cult following - even as it went out of print for more than twenty years. It recently inspired director Mark Moskowitz's award-winning documentary film Stone Reader, which was embraced by readers across the country and described by Peter Rainer in New York magazine as ""a marvelous literary thriller that gets at the way books can stay with people forever.""",3.14,412.0
6290,spring fever,P.G. Wodehouse,Fiction,"The fall brings four more antic novels from comic genius, P. G. Wodehouse. In Picadilly Jim (soon to be a major motion picture), Jimmy Crocker has a scandalous reputation on both sides of the Atlantic and must do an about-face to win back the woman of his dreams. Uneasy Money sees the hard-up Lord Dawlish off to America to make a fortune, while in Cocktail Time events turn on the fate of a filmscript. Spring Fever is a light-hearted comedy involving love and various complications.",4.06,468.0
6291,money in the bank,P. G. Wodehouse,Fiction,"When George, sixth Viscount Uffenham, turns the family fortune into diamonds and hides them away, naturally he forgets where he has hidden the loot and is compelled to let the family seat to stay afloat. So it is that Mrs. Cork's Health Colony comes into being.",4.15,308.0
6292,anthony powell,Michael Barber,Biography & Autobiography,"In the first full-length biography of Anthony Powell, Michael Barber--publisher, journalist, and man-about-town--takes a close look at the man and the writer. He finds someone whose temperament was often at war with his upbringing. The son of an army officer, educated at Eton and Oxford, Powell chose as his closest friends people like Malcolm Muggeridge and the composer Constant Lambert, who were not out of the top drawer, or the one below it. Although happily married for more than sixty years to Lady Violet Pakenham, the daughter of an earl, he admitted that he had always been attracted by girls who looked as if they'd slept under a bush for a week. Powell believed that creative writing was, like alchemy, a mysterious, indefinable process by which experience became art. Michael Barber focuses on the experience that provided Powell with his raw material. He pays particular attention to the entre-deux-guerres, that sharply divided cultural interlude when the artists and good-timers with whom Powell identified in the twenties were followed, in the thirties, by the politicians and the prigs. Amusing, candid, and highly entertaining, this is a delightfully readable account of the author",3.72,39.0
